lemma,absolute_women,relative_women,absolute_men,relative_men,delta
Anmut,6.0,0.0003559563360227812,0.0,0.0,0.0003559563360227812
Annehmlichkeite,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Anspielung,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Antlitz,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Antwort,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Anwesenheit,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Anziehung,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Anziehungskraft,17.0,0.0010085429520645468,6.0,0.0006027122049221497,0.00040583074714239714
Apfel,16.0,0.0009492168960607499,24.0,0.002410848819688599,-0.0014616319236278488
Apfelaromen,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Apfelblüt,5.0,0.00029663028001898433,0.0,0.0,0.00029663028001898433
Apfelblüte,5.0,0.00029663028001898433,0.0,0.0,0.00029663028001898433
Appetit,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
Apricot,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aprikos,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aprikose,6.0,0.0003559563360227812,0.0,0.0,0.0003559563360227812
Aqua,0.0,0.0,4.0,0.00040180813661476645,-0.00040180813661476645
Aquatische,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aqueous,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Arabischem,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Arbeit,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Architektur,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Arden,4.0,0.00023730422401518748,0.0,0.0,0.00023730422401518748
Argan,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ari,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ariana,5.0,0.00029663028001898433,0.0,0.0,0.00029663028001898433
Arm,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Arom,13.0,0.0007712387280493592,9.0,0.0009040683073832245,-0.00013282957933386528
Aroma,29.0,0.0017204556241101092,15.0,0.0015067805123053742,0.00021367511180473493
Aromatisch-würzig,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Aromatisch-zitrisch,0.0,0.0,2.0,0.00020090406830738323,-0.00020090406830738323
Arrangement,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Art,9.0,0.0005339345040341718,4.0,0.00040180813661476645,0.00013212636741940538
Artemisia,1.0,5.932605600379687e-05,1.0,0.00010045203415369161,-4.1125978149894744e-05
Ascherauch,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Asphaltnot,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Assoluto,3.0,0.0001779781680113906,0.0,0.0,0.0001779781680113906
Assoziatione,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Atem,2.0,0.00011865211200759374,1.0,0.00010045203415369161,1.8200077853902126e-05
Atemzug,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Atlantik,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Atmosphäre,3.0,0.0001779781680113906,1.0,0.00010045203415369161,7.752613385769899e-05
Attraktiv,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Attraktivität,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Attribut,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Attribute,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aufgabe,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aufgefrischt,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aufmerksamkeit,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aufmunternd,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aufregung,1.0,5.932605600379687e-05,2.0,0.00020090406830738323,-0.00014157801230358635
Aufsprüh,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aufsprühen,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Auftakt,17.0,0.0010085429520645468,11.0,0.0011049723756906078,-9.642942362606097e-05
Auftrage,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Auftragen,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Auftritt,5.0,0.00029663028001898433,6.0,0.0006027122049221497,-0.0003060819249031654
Aufzublühe,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Auge,3.0,0.0001779781680113906,1.0,0.00010045203415369161,7.752613385769899e-05
Augenblick,10.0,0.0005932605600379687,3.0,0.00030135610246107485,0.0002919044575768938
Augenzwinker,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Aura,17.0,0.0010085429520645468,6.0,0.0006027122049221497,0.00040583074714239714
Aurora,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ausbruch,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ausdauer,1.0,5.932605600379687e-05,2.0,0.00020090406830738323,-0.00014157801230358635
Ausdruck,6.0,0.0003559563360227812,8.0,0.0008036162732295329,-0.0004476599372067517
Ausdruckskraft,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ausdrucksstark,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ausgang,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ausgleich,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ausklang,0.0,0.0,5.0,0.0005022601707684581,-0.0005022601707684581
Ausprägung,1.0,5.932605600379687e-05,2.0,0.00020090406830738323,-0.00014157801230358635
Aussehe,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Aussprache,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Ausstrahlung,19.0,0.0011271950640721405,13.0,0.001305876443997991,-0.00017868137992585052
Authentizität,5.0,0.00029663028001898433,1.0,0.00010045203415369161,0.00019617824586529273
Automarke,0.0,0.0,3.0,0.00030135610246107485,-0.00030135610246107485
Autor,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
Avenue,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Away,2.0,0.00011865211200759374,0.0,0.0,0.00011865211200759374
Ayurveda,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
Azzaro,0.0,0.0,3.0,0.00030135610246107485,-0.00030135610246107485
Azzurro,1.0,5.932605600379687e-05,0.0,0.0,5.932605600379687e-05
B,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
BAD,0.0,0.0,1.0,0.00010045203415369161,-0.00010045203415369161
BALDESSARINI,0.0,0.0,5.0,0.0005022601707684581,-0.0005022601707684581
