lemma,absolute_women,relative_women,absolute_men,relative_men,delta
110,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
11038,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
11153,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
11251,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
11639,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
11658,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
11821,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
118245,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
118246,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
119449,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
119451,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
119452,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
119454,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
11976,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
12,27.0,0.0003501582196399855,10.0,0.00034002040122407346,1.0137818415912041e-05
"12,5ml",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
12.5ml,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
12194,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
125,7.0,9.078176064740364e-05,2.0,6.80040802448147e-05,2.277768040258894e-05
125ml,6.0,7.781293769777455e-05,0.0,0.0,7.781293769777455e-05
12615,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1266010,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
1266064,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
1266070,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1266078,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
1266131,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1266132,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1278568,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
1278583,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
1278586,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
12948,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
12981,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
13,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
1300,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
13087,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
13243,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
13270,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
13845,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
13947,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
14,21.0,0.0002723452819422109,8.0,0.0002720163209792588,3.2896096295213046e-07
14251,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
14299,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
14328,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
14443,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
14592,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
14593,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
147,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
14700,155.0,0.0020101675571925093,53.0,0.0018021081264875892,0.0002080594307049201
"14700).""""this",1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
14700).this,4.0,5.187529179851637e-05,1.0,3.400204012240735e-05,1.787325167610902e-05
14700)this,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
14700/,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15,21.0,0.0002723452819422109,3.0,0.00010200612036722203,0.00017033916157498889
150,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15031,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15080,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
150ml,5.0,6.484411474814545e-05,2.0,6.80040802448147e-05,-3.159965496669242e-06
15334,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15342,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15396,2.0,2.5937645899258183e-05,0.0,0.0,2.5937645899258183e-05
15403,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15407,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15510,19.0,0.00024640763604295276,5.0,0.00017001020061203673,7.639743543091604e-05
15549,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15652,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15773,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15985,19.0,0.00024640763604295276,11.0,0.0003740224413464808,-0.00012761480530352803
15985).this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15985this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
15ml,0.0,0.0,2.0,6.80040802448147e-05,-6.80040802448147e-05
16,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
16066,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
16096,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
16097,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
16106,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
16128,13.0,0.0001685946983451782,2.0,6.80040802448147e-05,0.0001005906181003635
16356,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
16364,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
16402,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
16455,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
16568,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
16770,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
16984ingredient,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
17,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
17121this,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
17200,67.0,0.0008689111376251491,13.0,0.0004420265215912955,0.00042688461603385364
17200(red,0.0,0.0,1.0,3.400204012240735e-05,-3.400204012240735e-05
17200).this,1.0,1.2968822949629092e-05,2.0,6.80040802448147e-05,-5.50352572951856e-05
"17200,ci",1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
17212,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
17213,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
17250,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
175,0.0,0.0,2.0,6.80040802448147e-05,-6.80040802448147e-05
17604,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
17921,1.0,1.2968822949629092e-05,0.0,0.0,1.2968822949629092e-05
18,1.0,1.2968822949629092e-05,1.0,3.400204012240735e-05,-2.1033217172778255e-05
